episode,timestamp,action,input_summary,output_summary,reward
1,2026-06-06T17:27:57.693278,predict_demand,grids=1128,mean_util=0.246,
2,2026-06-06T17:27:58.049341,predict_demand,grids=1128,mean_util=0.258,
3,2026-06-06T17:27:58.411632,predict_demand,grids=1128,mean_util=0.259,
4,2026-06-06T17:27:58.802468,predict_demand,grids=1128,mean_util=0.232,
5,2026-06-06T17:27:59.168930,predict_demand,grids=1128,mean_util=0.274,
6,2026-06-06T17:27:59.519188,predict_demand,grids=1128,mean_util=0.276,
7,2026-06-06T17:27:59.859517,predict_demand,grids=1128,mean_util=0.254,
8,2026-06-06T17:28:00.217125,predict_demand,grids=1128,mean_util=0.236,
9,2026-06-06T17:28:00.575650,predict_demand,grids=1128,mean_util=0.270,
10,2026-06-06T17:28:00.932597,predict_demand,grids=1128,mean_util=0.277,
11,2026-06-06T17:28:01.297928,predict_demand,grids=1104,mean_util=0.243,
12,2026-06-06T17:28:01.652956,predict_demand,grids=1104,mean_util=0.271,
13,2026-06-06T17:28:01.989555,predict_demand,grids=1104,mean_util=0.279,
14,2026-06-06T17:28:02.345134,predict_demand,grids=1104,mean_util=0.266,
15,2026-06-06T17:28:02.702209,predict_demand,grids=1104,mean_util=0.262,
16,2026-06-06T17:28:10.050409,predict_demand,grids=1128,mean_util=0.246,
17,2026-06-06T17:28:10.404578,predict_demand,grids=1128,mean_util=0.258,
18,2026-06-06T17:28:10.769398,predict_demand,grids=1128,mean_util=0.259,
19,2026-06-06T17:28:11.135908,predict_demand,grids=1128,mean_util=0.232,
20,2026-06-06T17:28:11.505706,predict_demand,grids=1128,mean_util=0.274,
21,2026-06-06T17:28:11.858413,predict_demand,grids=1128,mean_util=0.276,
22,2026-06-06T17:28:12.223415,predict_demand,grids=1128,mean_util=0.254,
23,2026-06-06T17:28:12.583270,predict_demand,grids=1128,mean_util=0.236,
24,2026-06-06T17:28:12.946327,predict_demand,grids=1128,mean_util=0.270,
25,2026-06-06T17:28:13.297515,predict_demand,grids=1128,mean_util=0.277,
26,2026-06-06T17:28:13.655543,predict_demand,grids=1104,mean_util=0.243,
27,2026-06-06T17:28:14.013558,predict_demand,grids=1104,mean_util=0.271,
28,2026-06-06T17:28:14.362800,predict_demand,grids=1104,mean_util=0.279,
29,2026-06-06T17:28:14.721839,predict_demand,grids=1104,mean_util=0.266,
30,2026-06-06T17:28:15.078166,predict_demand,grids=1104,mean_util=0.262,
31,2026-06-06T17:32:00.665228,predict_demand,grids=1128,mean_util=0.246,
32,2026-06-06T17:32:01.040231,predict_demand,grids=1128,mean_util=0.258,
33,2026-06-06T17:32:01.408712,predict_demand,grids=1128,mean_util=0.259,
34,2026-06-06T17:32:01.769295,predict_demand,grids=1128,mean_util=0.232,
35,2026-06-06T17:32:02.130243,predict_demand,grids=1128,mean_util=0.274,
36,2026-06-06T17:32:02.503407,predict_demand,grids=1128,mean_util=0.276,
37,2026-06-06T17:32:02.874389,predict_demand,grids=1128,mean_util=0.254,
38,2026-06-06T17:32:03.249431,predict_demand,grids=1128,mean_util=0.236,
39,2026-06-06T17:32:03.629341,predict_demand,grids=1128,mean_util=0.270,
40,2026-06-06T17:32:04.005491,predict_demand,grids=1128,mean_util=0.277,
41,2026-06-06T17:32:04.376946,predict_demand,grids=1104,mean_util=0.243,
42,2026-06-06T17:32:04.778554,predict_demand,grids=1104,mean_util=0.271,
43,2026-06-06T17:32:05.173335,predict_demand,grids=1104,mean_util=0.279,
44,2026-06-06T17:32:05.585323,predict_demand,grids=1104,mean_util=0.266,
45,2026-06-06T17:32:05.971873,predict_demand,grids=1104,mean_util=0.262,
