revenue_gain_pct,total_dynamic_revenue,total_baseline_revenue,charger_util_before,charger_util_after,charger_util_change,surge_zones_count,surge_util_before,surge_util_after,surge_util_change,surge_mean_tariff,surge_revenue_gain_pct,discount_zones_count,discount_util_before,discount_util_after,discount_util_change,discount_mean_tariff,discount_revenue_gain_pct,standard_zones_count,standard_util_before,standard_util_after,standard_util_change,standard_mean_tariff,standard_revenue_gain_pct,offpeak_sessions_before,offpeak_sessions_after,offpeak_uplift_pct,queue_before,queue_after,wait_reduction_minutes,avg_price_change_pct,customer_response_rate,elasticity_assumption,pricing_efficiency_score,baseline_efficiency,efficiency_improvement,episode,timestamp
-11.439,62078933.36,70097258.7,0.2456,0.2566,0.011,0,,,,,,749,0.1711,0.182,0.0109,11.81,-20.506,379,0.3927,0.4039,0.0112,13.29,-10.813,165179.7,175727.6,6.386,0.0606,0.0633,-0.01,-17.926,5.378,-0.3,13.1995,15.0,-1.8005,1,2026-06-06T22:47:41.234591
-1.799,74523521.12,75889083.26,0.2576,0.2586,0.001,3,0.8572,0.7029,-0.1543,24.0,61.026,730,0.1734,0.1752,0.0018,14.47,-2.94,395,0.4087,0.4093,0.0006,14.8,-0.701,162669.2,164324.7,1.018,0.0672,0.0674,-0.0,-2.606,0.782,-0.3,14.6363,15.0,-0.3637,2,2026-06-06T22:47:41.606058
15.48,95566760.91,82755960.54,0.2589,0.2528,-0.0061,0,,,,,,730,0.1753,0.1775,0.0022,14.37,-3.591,398,0.4122,0.3908,-0.0214,17.18,15.252,151781.1,153751.5,1.298,0.0857,0.0837,0.01,2.4,-0.72,-0.3,17.2117,15.0,2.2117,3,2026-06-06T22:47:41.971511
9.889,81931857.02,74558875.31,0.2317,0.2292,-0.0026,0,,,,,,823,0.1721,0.1742,0.0021,14.41,-3.338,305,0.3925,0.3773,-0.0152,16.5,10.738,189592.8,192143.6,1.345,0.0754,0.0746,0.0,-0.171,0.051,-0.3,16.3783,15.0,1.3783,4,2026-06-06T22:47:42.331329
16.704,96182895.7,82416105.87,0.2737,0.2653,-0.0085,3,0.8431,0.7431,-0.1,21.0,40.898,659,0.1686,0.1703,0.0017,14.53,-2.471,466,0.4187,0.3965,-0.0222,17.17,15.196,131418.6,132722.2,0.992,0.0833,0.0807,0.01,4.243,-1.273,-0.3,17.3941,15.0,2.3941,5,2026-06-06T22:47:42.691960
16.139,95006954.67,81804677.87,0.2756,0.2664,-0.0091,0,,,,,,682,0.1718,0.1733,0.0015,14.54,-2.448,446,0.4343,0.4089,-0.0254,17.49,17.324,138502.0,140046.3,1.115,0.083,0.0803,0.01,4.699,-1.41,-0.3,17.3098,15.0,2.3098,6,2026-06-06T22:47:43.048054
11.224,81660453.6,73419586.02,0.2543,0.2492,-0.005,0,,,,,,723,0.1662,0.168,0.0018,14.47,-2.929,405,0.4115,0.3943,-0.0172,16.69,12.006,146495.1,148179.2,1.15,0.069,0.0676,0.01,1.785,-0.535,-0.3,16.5774,15.0,1.5774,7,2026-06-06T22:47:43.407592
9.046,73379421.72,67291970.46,0.2358,0.2328,-0.003,0,,,,,,757,0.16,0.1619,0.0019,14.42,-3.24,371,0.3904,0.3774,-0.013,16.27,9.154,159797.8,161592.1,1.123,0.0588,0.0581,0.0,0.183,-0.055,-0.3,16.2527,15.0,1.2527,8,2026-06-06T22:47:43.771377
12.669,84267307.54,74791993.56,0.2697,0.2624,-0.0072,4,0.8358,0.6854,-0.1504,24.0,61.026,698,0.1677,0.1698,0.0021,14.37,-3.443,426,0.4315,0.4102,-0.0213,17.0,14.087,129868.6,131186.2,1.015,0.0657,0.0639,0.01,2.671,-0.801,-0.3,16.7927,15.0,1.7927,9,2026-06-06T22:47:44.134407
14.314,96222083.78,84173469.2,0.2769,0.268,-0.0089,0,,,,,,645,0.1664,0.1681,0.0017,14.46,-2.981,483,0.4245,0.4014,-0.0231,17.23,15.63,121004.4,122065.3,0.877,0.0893,0.0864,0.01,4.32,-1.296,-0.3,17.0379,15.0,2.0379,10,2026-06-06T22:47:44.499158
